"@ampproject/remapping","2.2.1",
"@angular-devkit/architect","0.1602.9",
"@angular-devkit/build-angular","16.2.9",
"@angular-devkit/build-webpack","0.1602.9",
"@angular-devkit/core","16.2.9",
"@angular-devkit/schematics","16.2.9",
"@angular/animations","16.2.12",
"@angular/cli","16.2.9",
"@angular/common","16.2.12",
"@angular/compiler","16.2.12",
"@angular/compiler-cli","16.2.12",
"@angular/core","16.2.12",
"@angular/forms","16.2.12",
"@angular/platform-browser","16.2.12",
"@angular/platform-browser-dynamic","16.2.12",
"@angular/router","16.2.12",
"@assemblyscript/loader","0.10.1",
"@aws-crypto/crc32","3.0.0",
"@aws-crypto/ie11-detection","3.0.0",
"@aws-crypto/sha256-browser","3.0.0",
"@aws-crypto/sha256-js","3.0.0",
"@aws-crypto/supports-web-crypto","3.0.0",
"@aws-crypto/util","3.0.0",
"@aws-sdk/client-cognito-identity","3.423.0",
"@aws-sdk/client-sso","3.423.0",
"@aws-sdk/client-sts","3.423.0",
"@aws-sdk/credential-provider-cognito-identity","3.423.0",
"@aws-sdk/credential-provider-env","3.418.0",
"@aws-sdk/credential-provider-http","3.423.0",
"@aws-sdk/credential-provider-ini","3.423.0",
"@aws-sdk/credential-provider-node","3.423.0",
"@aws-sdk/credential-provider-process","3.418.0",
"@aws-sdk/credential-provider-sso","3.423.0",
"@aws-sdk/credential-provider-web-identity","3.418.0",
"@aws-sdk/credential-providers","3.423.0",
"@aws-sdk/middleware-host-header","3.418.0",
"@aws-sdk/middleware-logger","3.418.0",
"@aws-sdk/middleware-recursion-detection","3.418.0",
"@aws-sdk/middleware-sdk-sts","3.418.0",
"@aws-sdk/middleware-signing","3.418.0",
"@aws-sdk/middleware-user-agent","3.418.0",
"@aws-sdk/region-config-resolver","3.418.0",
"@aws-sdk/token-providers","3.418.0",
"@aws-sdk/types","3.418.0",
"@aws-sdk/util-endpoints","3.418.0",
"@aws-sdk/util-locate-window","3.310.0",
"@aws-sdk/util-user-agent-browser","3.418.0",
"@aws-sdk/util-user-agent-node","3.418.0",
"@aws-sdk/util-utf8-browser","3.259.0",
"@babel/code-frame","7.16.0",
"@babel/code-frame","7.22.13",
"@babel/compat-data","7.16.4",
"@babel/compat-data","7.23.2",
"@babel/core","7.16.0",
"@babel/core","7.22.9",
"@babel/core","7.23.2",
"@babel/generator","7.16.0",
"@babel/generator","7.22.9",
"@babel/generator","7.23.0",
"@babel/helper-annotate-as-pure","7.22.5",
"@babel/helper-builder-binary-assignment-operator-visitor","7.22.15",
"@babel/helper-compilation-targets","7.16.3",
"@babel/helper-compilation-targets","7.22.15",
"@babel/helper-create-class-features-plugin","7.22.15",
"@babel/helper-create-regexp-features-plugin","7.22.15",
"@babel/helper-define-polyfill-provider","0.4.3",
"@babel/helper-environment-visitor","7.22.20",
"@babel/helper-function-name","7.16.0",
"@babel/helper-function-name","7.23.0",
"@babel/helper-get-function-arity","7.16.0",
"@babel/helper-hoist-variables","7.16.0",
"@babel/helper-hoist-variables","7.22.5",
"@babel/helper-member-expression-to-functions","7.16.0",
"@babel/helper-member-expression-to-functions","7.23.0",
"@babel/helper-module-imports","7.16.0",
"@babel/helper-module-imports","7.22.15",
"@babel/helper-module-transforms","7.16.0",
"@babel/helper-module-transforms","7.23.0",
"@babel/helper-optimise-call-expression","7.16.0",
"@babel/helper-optimise-call-expression","7.22.5",
"@babel/helper-plugin-utils","7.14.5",
"@babel/helper-plugin-utils","7.22.5",
"@babel/helper-remap-async-to-generator","7.22.20",
"@babel/helper-replace-supers","7.16.0",
"@babel/helper-replace-supers","7.22.20",
"@babel/helper-simple-access","7.16.0",
"@babel/helper-simple-access","7.22.5",
"@babel/helper-skip-transparent-expression-wrappers","7.22.5",
"@babel/helper-split-export-declaration","7.16.0",
"@babel/helper-split-export-declaration","7.22.6",
"@babel/helper-string-parser","7.22.5",
"@babel/helper-validator-identifier","7.15.7",
"@babel/helper-validator-identifier","7.22.20",
"@babel/helper-validator-option","7.14.5",
"@babel/helper-validator-option","7.22.15",
"@babel/helper-wrap-function","7.22.20",
"@babel/helpers","7.16.3",
"@babel/helpers","7.23.2",
"@babel/highlight","7.16.0",
"@babel/highlight","7.22.20",
"@babel/parser","7.16.4",
"@babel/parser","7.23.0",
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression","7.22.15",
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining","7.22.15",
"@babel/plugin-proposal-async-generator-functions","7.20.7",
"@babel/plugin-proposal-private-property-in-object","7.21.0-placeholder-for-preset-env.2",
"@babel/plugin-proposal-unicode-property-regex","7.18.6",
"@babel/plugin-syntax-async-generators","7.8.4",
"@babel/plugin-syntax-class-properties","7.12.13",
"@babel/plugin-syntax-class-static-block","7.14.5",
"@babel/plugin-syntax-dynamic-import","7.8.3",
"@babel/plugin-syntax-export-namespace-from","7.8.3",
"@babel/plugin-syntax-import-assertions","7.22.5",
"@babel/plugin-syntax-import-attributes","7.22.5",
"@babel/plugin-syntax-import-meta","7.10.4",
"@babel/plugin-syntax-json-strings","7.8.3",
"@babel/plugin-syntax-logical-assignment-operators","7.10.4",
"@babel/plugin-syntax-nullish-coalescing-operator","7.8.3",
"@babel/plugin-syntax-numeric-separator","7.10.4",
"@babel/plugin-syntax-object-rest-spread","7.8.3",
"@babel/plugin-syntax-object-rest-spread","7.8.3",
"@babel/plugin-syntax-optional-catch-binding","7.8.3",
"@babel/plugin-syntax-optional-chaining","7.8.3",
"@babel/plugin-syntax-private-property-in-object","7.14.5",
"@babel/plugin-syntax-top-level-await","7.14.5",
"@babel/plugin-syntax-unicode-sets-regex","7.18.6",
"@babel/plugin-transform-arrow-functions","7.22.5",
"@babel/plugin-transform-async-generator-functions","7.23.2",
"@babel/plugin-transform-async-to-generator","7.22.5",
"@babel/plugin-transform-block-scoped-functions","7.22.5",
"@babel/plugin-transform-block-scoping","7.23.0",
"@babel/plugin-transform-class-properties","7.22.5",
"@babel/plugin-transform-class-static-block","7.22.11",
"@babel/plugin-transform-classes","7.22.15",
"@babel/plugin-transform-computed-properties","7.22.5",
"@babel/plugin-transform-destructuring","7.23.0",
"@babel/plugin-transform-dotall-regex","7.22.5",
"@babel/plugin-transform-duplicate-keys","7.22.5",
"@babel/plugin-transform-dynamic-import","7.22.11",
"@babel/plugin-transform-exponentiation-operator","7.22.5",
"@babel/plugin-transform-export-namespace-from","7.22.11",
"@babel/plugin-transform-for-of","7.22.15",
"@babel/plugin-transform-function-name","7.22.5",
"@babel/plugin-transform-json-strings","7.22.11",
"@babel/plugin-transform-literals","7.22.5",
"@babel/plugin-transform-logical-assignment-operators","7.22.11",
"@babel/plugin-transform-member-expression-literals","7.22.5",
"@babel/plugin-transform-modules-amd","7.23.0",
"@babel/plugin-transform-modules-commonjs","7.23.0",
"@babel/plugin-transform-modules-systemjs","7.23.0",
"@babel/plugin-transform-modules-umd","7.22.5",
"@babel/plugin-transform-named-capturing-groups-regex","7.22.5",
"@babel/plugin-transform-new-target","7.22.5",
"@babel/plugin-transform-nullish-coalescing-operator","7.22.11",
"@babel/plugin-transform-numeric-separator","7.22.11",
"@babel/plugin-transform-object-rest-spread","7.22.15",
"@babel/plugin-transform-object-super","7.22.5",
"@babel/plugin-transform-optional-catch-binding","7.22.11",
"@babel/plugin-transform-optional-chaining","7.23.0",
"@babel/plugin-transform-parameters","7.22.15",
"@babel/plugin-transform-private-methods","7.22.5",
"@babel/plugin-transform-private-property-in-object","7.22.11",
